geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037189502,6037189502,2022,1497,54811,54811
1400000US06037189600,6037189600,2022,2335,82446,82446
1400000US06037189702,6037189702,2022,1727,89707,89707
1400000US06037189703,6037189703,2022,1236,95403,95403
1400000US06037189704,6037189704,2022,1431,134145,134145
1400000US06037189801,6037189801,2022,1666,64257,64257
1400000US06037189802,6037189802,2022,1170,79484,79484
1400000US06037189903,6037189903,2022,1736,101932,101932
1400000US06037189904,6037189904,2022,1635,65221,65221
1400000US06037189905,6037189905,2022,1521,80256,80256
1400000US06037189906,6037189906,2022,1593,96667,96667
1400000US06037189907,6037189907,2022,1524,87994,87994
1400000US06037190101,6037190101,2022,1551,55866,55866
1400000US06037190102,6037190102,2022,1727,76037,76037
1400000US06037190201,6037190201,2022,1762,34626,34626
1400000US06037190202,6037190202,2022,2788,45755,45755
1400000US06037190302,6037190302,2022,1390,62545,62545
1400000US06037190303,6037190303,2022,1789,35297,35297
1400000US06037190401,6037190401,2022,1852,64028,64028
1400000US06037190402,6037190402,2022,1321,60096,60096
1400000US06037190510,6037190510,2022,2158,58110,58110
1400000US06037190520,6037190520,2022,1657,51701,51701
1400000US06037190701,6037190701,2022,1109,48403,48403
1400000US06037190702,6037190702,2022,909,71125,71125
1400000US06037190801,6037190801,2022,1513,51150,51150
1400000US06037190802,6037190802,2022,1752,70608,70608
1400000US06037190901,6037190901,2022,1584,41250,41250
1400000US06037190902,6037190902,2022,1823,64286,64286
1400000US06037191000,6037191000,2022,4441,63563,63563
1400000US06037191110,6037191110,2022,1224,46910,46910
1400000US06037191120,6037191120,2022,1707,46429,46429
1400000US06037191201,6037191201,2022,1907,41967,41967
1400000US06037191203,6037191203,2022,1128,46204,46204
1400000US06037191204,6037191204,2022,853,59297,59297
1400000US06037191301,6037191301,2022,1024,69667,69667
1400000US06037191302,6037191302,2022,1046,59318,59318
1400000US06037191410,6037191410,2022,1512,50168,50168
1400000US06037191420,6037191420,2022,1175,73917,73917
1400000US06037191500,6037191500,2022,1940,62313,62313
1400000US06037191610,6037191610,2022,1518,48482,48482
1400000US06037191620,6037191620,2022,1090,52045,52045
1400000US06037191710,6037191710,2022,1473,28750,28750
1400000US06037191720,6037191720,2022,1514,39475,39475
1400000US06037191810,6037191810,2022,1277,55991,55991
1400000US06037191820,6037191820,2022,2073,71341,71341
1400000US06037191901,6037191901,2022,2530,64516,64516
1400000US06037191902,6037191902,2022,1731,88568,88568
1400000US06037192001,6037192001,2022,1352,93606,93606
1400000US06037192002,6037192002,2022,1481,111500,111500
1400000US06037192300,6037192300,2022,1776,92063,92063
1400000US06037192410,6037192410,2022,2025,111250,111250
1400000US06037192420,6037192420,2022,1476,61929,61929
1400000US06037192510,6037192510,2022,1290,62963,62963
1400000US06037192520,6037192520,2022,1784,61711,61711
1400000US06037192610,6037192610,2022,1689,47056,47056
1400000US06037192620,6037192620,2022,1281,49375,49375
1400000US06037192700,6037192700,2022,1352,54775,54775
1400000US06037194101,6037194101,2022,2082,100893,100893
1400000US06037194102,6037194102,2022,1682,127917,127917
1400000US06037194200,6037194200,2022,1978,168821,168821
1400000US06037194300,6037194300,2022,1733,248173,248173
1400000US06037194401,6037194401,2022,1565,100234,100234
1400000US06037194402,6037194402,2022,2316,108309,108309
1400000US06037194500,6037194500,2022,1160,119762,119762
1400000US06037195100,6037195100,2022,2382,160804,160804
1400000US06037195201,6037195201,2022,1654,108831,108831
1400000US06037195202,6037195202,2022,1505,153537,153537
1400000US06037195300,6037195300,2022,1630,96298,96298
1400000US06037195400,6037195400,2022,2452,110051,110051
1400000US06037195500,6037195500,2022,2545,116815,116815
1400000US06037195600,6037195600,2022,1305,61842,61842
1400000US06037195710,6037195710,2022,1543,66520,66520
1400000US06037195720,6037195720,2022,1008,70075,70075
1400000US06037195802,6037195802,2022,1116,77216,77216
1400000US06037195803,6037195803,2022,1198,86333,86333
1400000US06037195804,6037195804,2022,1204,66659,66659
1400000US06037195901,6037195901,2022,1253,86477,86477
1400000US06037195902,6037195902,2022,1154,127500,127500
1400000US06037195903,6037195903,2022,948,88750,88750
1400000US06037197200,6037197200,2022,1227,73385,73385
1400000US06037197300,6037197300,2022,1936,103042,103042
1400000US06037197410,6037197410,2022,1890,94594,94594
1400000US06037197420,6037197420,2022,1655,87125,87125
1400000US06037197500,6037197500,2022,1809,82979,82979
1400000US06037197600,6037197600,2022,902,94219,94219
1400000US06037197700,6037197700,2022,2178,63073,63073
1400000US06037199001,6037199001,2022,802,52258,52258
1400000US06037199002,6037199002,2022,1121,67279,67279
1400000US06037199110,6037199110,2022,811,73750,73750
1400000US06037199120,6037199120,2022,1140,46678,46678
1400000US06037199201,6037199201,2022,1217,54695,54695
